,luciana_20,luciana_21,luciana_22,luciana_23,luciana_29,luciana_30,luciana_31,luciana_33,luciana_36,luciana_37
luciana_20,0.0,0.5559604457770305,0.5941284177809235,0.6798539867646414,0.6672929199038917,0.6545366883758083,0.5780902003178018,0.7000604102028727,0.7270675538647824,0.8521686304937537
luciana_21,0.5559604457770305,0.0,0.5972664912529443,0.6801969406547149,0.7077542497205778,0.7074560277947767,0.6128430406387279,0.7411818178027413,0.7593921623619999,0.8630142940582538
luciana_22,0.5941284177809235,0.5972664912529443,0.0,0.6430016704345259,0.6937535526093436,0.6927407380651687,0.6282017741802677,0.7163660360146787,0.7296754262874812,0.8526722332903178
luciana_23,0.6798539867646414,0.6801969406547149,0.6430016704345259,0.0,0.746770139353163,0.759543812542387,0.7000805073063138,0.7765008868775032,0.7691561759398169,0.8750385596214705
luciana_29,0.6672929199038917,0.7077542497205778,0.6937535526093436,0.746770139353163,0.0,0.54315905380997,0.6039236637958669,0.5643048580909606,0.6447262081477816,0.8482244341513091
luciana_30,0.6545366883758083,0.7074560277947767,0.6927407380651687,0.759543812542387,0.54315905380997,0.0,0.5909265943261759,0.5226839879787532,0.6286596272695585,0.8327762969548493
luciana_31,0.5780902003178018,0.6128430406387279,0.6282017741802677,0.7000805073063138,0.6039236637958669,0.5909265943261759,0.0,0.6336560265131693,0.6749211958037425,0.8437697314176893
luciana_33,0.7000604102028727,0.7411818178027413,0.7163660360146787,0.7765008868775032,0.5643048580909606,0.5226839879787532,0.6336560265131693,0.0,0.63214741758203,0.849229810881551
luciana_36,0.7270675538647824,0.7593921623619999,0.7296754262874812,0.7691561759398169,0.6447262081477816,0.6286596272695585,0.6749211958037425,0.63214741758203,0.0,0.8017878999365222
luciana_37,0.8521686304937537,0.8630142940582538,0.8526722332903178,0.8750385596214705,0.8482244341513091,0.8327762969548493,0.8437697314176893,0.849229810881551,0.8017878999365222,0.0
