phylum,luciana_20,luciana_21,luciana_22,luciana_23,luciana_29,luciana_30,luciana_31,luciana_33,luciana_36,luciana_37
p__Pseudomonadota,25.042698,23.527088,19.987291,20.832924,25.95429,29.082247,26.047253,25.775278,27.145475,36.739002
p__Actinomycetota,22.453817,23.092505,19.4903,18.299097,25.463442,25.865694,26.026804,26.723333,24.104477,22.890882
p__Acidobacteriota,15.870706,16.84234,18.675974,19.771948,14.644888,12.22329,14.213686,13.85253,16.124596,7.585245
p__Bacteroidota,6.3529863,7.028349,9.733404,9.094475,5.0998697,4.658334,5.26421,4.8868275,5.573149,6.3052363
p__Chloroflexota,5.3231835,5.1018386,6.056131,6.7284403,4.6250634,4.108433,4.6670785,4.5630517,4.0667596,2.5058424
p__Planctomycetota,3.6500425,3.7599235,2.8627543,3.3502915,3.9634671,3.8145266,3.5348463,3.8209434,3.311101,1.7249279
p__Bacillota,2.8309965,3.0721958,4.411303,3.2894313,2.3858728,2.7682674,2.9638448,2.9842765,2.6710086,5.3606467
p__Gemmatimonadota,3.196093,3.297741,2.6663458,2.8867707,4.0960155,3.460823,3.524167,3.880847,3.066531,1.1975944
p__Myxococcota,3.2096207,2.91677,1.8618399,1.9878023,3.65406,4.0740395,3.2549124,3.4115214,2.9532046,2.6133263
p__Verrucomicrobiota,3.8700228,2.6695683,2.6796322,3.141568,2.6952798,3.2529001,2.5421264,2.8337755,2.4206157,1.9309626
Others,8.199837,8.691679,11.575028,10.617256,7.4177485,6.691446,7.961078,7.267613,8.563083,11.146326
